0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.240236] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.246399] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.252566] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.256675] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.262830] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5982170892 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.268985] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5982170892 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.268985] 
0.0530969267849 0.0333343144779 -0.119078728594 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.277622] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.283785] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.287892] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.291998] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.296077] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.300146] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.304257] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.308372] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.312482] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.318639] 
0.0530969267849 0.0333343144779 -0.119078728594 -10.5953784292 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.322772] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5953784292 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.328912] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5953784292 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.335076] 
0.0530935236842 0.0333347465776 -0.119077616427 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.339181] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.345345] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.351501] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.357622] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.365844] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5982170892 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.372011] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5982170892 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.378170] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5982170892 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.382315] 
