0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.616936] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.621052] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.625159] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.631322] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.637492] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.641593] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.645695] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.651861] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.655970] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.662147] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.670374] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.676539] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.682701] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.686808] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.692970] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.699138] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.703246] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.709408] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.713489] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.717601] 
