0.0571822797084 0.0434284365938 -0.133098744721 -11.5203188156 -15.2808643305 -164.793017933 0.0571822797084 0.0434284365938 -0.133098744721 -8.70295541288 -15.2576708439 -163.408862944 [( 0.057,  0.043, -0.133),(yaw:-11.5, pitch:-15.3, roll:-164.8),stamp=2014-07-09T14:03:11.711822] 
0.0571822797084 0.0434284365938 -0.133098744721 -11.5203188156 -15.2808643305 -164.793017933 0.0571822797084 0.0434284365938 -0.133098744721 -8.70295541288 -15.2576708439 -163.408862944 [( 0.057,  0.043, -0.133),(yaw:-11.5, pitch:-15.3, roll:-164.8),stamp=2014-07-09T14:03:11.720044] 
0.0571822797084 0.0434284365938 -0.133098744721 -11.5203188156 -15.2808643305 -164.793017933 0.0571822797084 0.0434284365938 -0.133098744721 -8.70295541288 -15.2576708439 -163.408862944 [( 0.057,  0.043, -0.133),(yaw:-11.5, pitch:-15.3, roll:-164.8),stamp=2014-07-09T14:03:11.724164] 
0.0571822797084 0.0434284365938 -0.133098744721 -11.5203188156 -15.2808643305 -164.793017933 0.0571822797084 0.0434284365938 -0.133098744721 -8.70295541288 -15.2576708439 -163.408862944 [( 0.057,  0.043, -0.133),(yaw:-11.5, pitch:-15.3, roll:-164.8),stamp=2014-07-09T14:03:11.730330] 
0.0571822797084 0.0434284365938 -0.133098744721 -11.5203188156 -15.2808643305 -164.793017933 0.0571822797084 0.0434284365938 -0.133098744721 -8.70295541288 -15.2576708439 -163.408862944 [( 0.057,  0.043, -0.133),(yaw:-11.5, pitch:-15.3, roll:-164.8),stamp=2014-07-09T14:03:11.734442] 
0.0571822797084 0.0434284365938 -0.133098744721 -11.5203188156 -15.2808643305 -164.793017933 0.0571822797084 0.0434284365938 -0.133098744721 -8.70295541288 -15.2576708439 -163.408862944 [( 0.057,  0.043, -0.133),(yaw:-11.5, pitch:-15.3, roll:-164.8),stamp=2014-07-09T14:03:11.738549] 
0.0571822797084 0.0434284365938 -0.133098744721 -11.5203188156 -15.2808643305 -164.793017933 0.0571822797084 0.0434284365938 -0.133098744721 -8.70295541288 -15.2576708439 -163.408862944 [( 0.057,  0.043, -0.133),(yaw:-11.5, pitch:-15.3, roll:-164.8),stamp=2014-07-09T14:03:11.744687] 
0.0571822797084 0.0434284365938 -0.133098744721 -11.5203188156 -15.2808643305 -164.793017933 0.0571822797084 0.0434284365938 -0.133098744721 -8.70295541288 -15.2576708439 -163.408862944 [( 0.057,  0.043, -0.133),(yaw:-11.5, pitch:-15.3, roll:-164.8),stamp=2014-07-09T14:03:11.746742] 
0.0571822797084 0.0434284365938 -0.133098744721 -11.5203188156 -15.2808643305 -164.793017933 0.0571822797084 0.0434284365938 -0.133098744721 -8.70295541288 -15.2576708439 -163.408862944 [( 0.057,  0.043, -0.133),(yaw:-11.5, pitch:-15.3, roll:-164.8),stamp=2014-07-09T14:03:11.754975] 
0.0571822797084 0.0434284365938 -0.133098744721 -11.5203188156 -15.2808643305 -164.793017933 0.0571822797084 0.0434284365938 -0.133098744721 -8.70295541288 -15.2576708439 -163.408862944 [( 0.057,  0.043, -0.133),(yaw:-11.5, pitch:-15.3, roll:-164.8),stamp=2014-07-09T14:03:11.759080] 
