0.0591329909265 0.0392643993138 -0.134413077585 -71.8329961869 -6.8049693732 -162.212547174 0.0591329909265 0.0392643993138 -0.134413077585 -70.8239470666 -0.482717175761 -161.107629985 [( 0.059,  0.039, -0.134),(yaw:-71.8, pitch:-6.8, roll:-162.2),stamp=2014-07-09T14:45:37.917795] 
0.0591329909265 0.0392643993138 -0.134413077585 -71.8329961869 -6.8049693732 -162.212547174 0.0591329909265 0.0392643993138 -0.134413077585 -70.8239470666 -0.482717175761 -161.107629985 [( 0.059,  0.039, -0.134),(yaw:-71.8, pitch:-6.8, roll:-162.2),stamp=2014-07-09T14:45:37.917795] 
0.0591329909265 0.0392643993138 -0.134413077585 -71.8329961869 -6.8049693732 -162.212547174 0.0591329909265 0.0392643993138 -0.134413077585 -70.8239470666 -0.482717175761 -161.107629985 [( 0.059,  0.039, -0.134),(yaw:-71.8, pitch:-6.8, roll:-162.2),stamp=2014-07-09T14:45:37.935492] 
0.0591331142723 0.0392632652758 -0.134413354588 -71.8329961869 -6.8049693732 -162.212547174 0.0591331142723 0.0392632652758 -0.134413354588 -70.82412594 -0.483098964334 -161.107762763 [( 0.059,  0.039, -0.134),(yaw:-71.8, pitch:-6.8, roll:-162.2),stamp=2014-07-09T14:45:37.945307] 
0.0591331142723 0.0392632652758 -0.134413354588 -71.8329961869 -6.8049693732 -162.212547174 0.0591331142723 0.0392632652758 -0.134413354588 -70.82412594 -0.483098964334 -161.107762763 [( 0.059,  0.039, -0.134),(yaw:-71.8, pitch:-6.8, roll:-162.2),stamp=2014-07-09T14:45:37.952780] 
0.0591331142723 0.0392632652758 -0.134413354588 -71.8329961869 -6.8049693732 -162.212547174 0.0591331142723 0.0392632652758 -0.134413354588 -70.82412594 -0.483098964334 -161.107762763 [( 0.059,  0.039, -0.134),(yaw:-71.8, pitch:-6.8, roll:-162.2),stamp=2014-07-09T14:45:37.957379] 
0.0591331142723 0.0392632652758 -0.134413354588 -71.8329961869 -6.8049693732 -162.212547174 0.0591331142723 0.0392632652758 -0.134413354588 -70.82412594 -0.483098964334 -161.107762763 [( 0.059,  0.039, -0.134),(yaw:-71.8, pitch:-6.8, roll:-162.2),stamp=2014-07-09T14:45:37.962031] 
0.0591331142723 0.0392632652758 -0.134413354588 -71.8329961869 -6.8049693732 -162.212547174 0.0591331142723 0.0392632652758 -0.134413354588 -70.82412594 -0.483098964334 -161.107762763 [( 0.059,  0.039, -0.134),(yaw:-71.8, pitch:-6.8, roll:-162.2),stamp=2014-07-09T14:45:37.968573] 
0.0591331142723 0.0392632652758 -0.134413354588 -71.8329961869 -6.8049693732 -162.212547174 0.0591331142723 0.0392632652758 -0.134413354588 -70.82412594 -0.483098964334 -161.107762763 [( 0.059,  0.039, -0.134),(yaw:-71.8, pitch:-6.8, roll:-162.2),stamp=2014-07-09T14:45:37.976573] 
0.0591331142723 0.0392632652758 -0.134413354588 -71.8329961869 -6.8049693732 -162.212547174 0.0591331142723 0.0392632652758 -0.134413354588 -70.82412594 -0.483098964334 -161.107762763 [( 0.059,  0.039, -0.134),(yaw:-71.8, pitch:-6.8, roll:-162.2),stamp=2014-07-09T14:45:37.981455] 
